doi,url,status,venue,year
10.1007/s13277-013-0728-9,,CLOSED,Tumor Biology,2013
10.1097/01.dcr.0000345750.70367.d1,https://europepmc.org/articles/pmc2531249?pdf=render,GREEN,Surgery,2008
10.18632/oncotarget.6030,http://www.oncotarget.com/index.php?journal=oncotarget&page=article&op=download&path%5B%5D=6030&path%5B%5D=16218,GOLD,OncoTarget,2015
10.1016/j.bbrc.2018.11.071,,CLOSED,Biochemical and Biophysical Research Communications - BBRC,2018
10.3389/fphar.2017.00667,https://www.frontiersin.org/articles/10.3389/fphar.2017.00667/pdf,GOLD,Frontiers in Pharmacology,2017
10.1038/s41598-020-63819-6,https://www.nature.com/articles/s41598-020-63819-6.pdf,GOLD,Scientific Reports,2020
10.1002/minf.201700129,,CLOSED,Molecular Informatics,2018
10.3892/ol.2018.7790,https://www.spandidos-publications.com/10.3892/ol.2018.7790/download,GOLD,Oncology Letters,2018
10.1097/INF.0b013e31819e3f7a,,CLOSED,The Pediatric Infectious Disease Journal,2009
10.1038/nrc2938,https://www.nature.com/articles/nrc2938.pdf,BRONZE,Nature Reviews. Cancer,2010
10.1007/s10549-017-4375-5,https://europepmc.org/articles/pmc5709225?pdf=render,GREEN,Breast Cancer Research and Treatment,2017
10.1007/s00247-012-2446-7,,CLOSED,Pediatric Radiology,2012
10.4103/0019-509X.200647,,CLOSED,Indian Journal of Cancer,2016
10.1111/j.1442-2018.2011.00624.x,,CLOSED,Nursing and Health Sciences,2011
10.1093/aje/kwy127,https://academic.oup.com/aje/article-pdf/187/11/2339/26284584/kwy127.pdf,BRONZE,American Journal of Epidemiology,2018
10.1016/j.prp.2017.07.027,,CLOSED,"Pathology, Research and Practice",2017
10.1016/j.rcl.2018.01.002,,CLOSED,The Radiologic clinics of North America,2018
10.1331/JAPhA.2011.11549,,CLOSED,Journal of the American Pharmacists Association,2011
10.1016/j.jcjo.2017.09.009,,CLOSED,Canadian Journal of Ophthalmology-journal Canadien D Ophtalmologie,2017
10.2147/JMDH.S228951,https://www.dovepress.com/getfile.php?fileID=54475,GOLD,Journal of Multidisciplinary Healthcare,2019
10.1021/acs.joc.7b01341,,CLOSED,Journal of Organic Chemistry,2017
10.1007/s00355-016-1017-5,https://e-archivo.uc3m.es/bitstream/10016/25205/1/peripheral_ortuno_SCW_2017_ps.pdf,GREEN,Social Choice and Welfare,2017
10.3390/sym12111842,https://www.mdpi.com/2073-8994/12/11/1842/pdf?version=1604979129,GOLD,Symmetry,2020
10.1016/j.jad.2013.07.025,,CLOSED,Journal of Affective Disorders,2013
10.1177/1049731512471861,,CLOSED,,2013
10.1007/s10802-019-00532-7,,CLOSED,Journal of Abnormal Child Psychology,2019
10.1109/ISGT.2015.7131849,,CLOSED,IEEE PES Innovative Smart Grid Technologies Conference,2015
10.1002/hbm.22798,https://europepmc.org/articles/pmc6869115?pdf=render,GREEN,Human Brain Mapping,2015
10.3389/fphar.2020.01319,https://www.frontiersin.org/articles/10.3389/fphar.2020.01319/pdf,GOLD,Frontiers in Pharmacology,2020
10.1007/978-3-642-04492-2_48,,CLOSED,Asia-Pacific Network Operations and Management Symposium,2009
10.1109/TCAD.2020.3003843,,CLOSED,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020
10.1109/ICASSP.2017.7952523,https://calhoun.nps.edu/bitstream/10945/60823/1/Analysis_of_a_covert_communication.pdf,GREEN,"IEEE International Conference on Acoustics, Speech, and Signal Processing",2017
10.3390/polym8070260,https://www.mdpi.com/2073-4360/8/7/260/pdf,GOLD,Polymers,2016
10.1080/15265161.2017.1365187,,CLOSED,American Journal of Bioethics,2017
10.1002/glia.22571,https://europepmc.org/articles/pmc4040138?pdf=render,GREEN,Glia,2013
10.1016/j.vaccine.2010.04.109,,CLOSED,Vaccine,2010
10.14411/fp.2015.060,http://folia.paru.cas.cz/doi/10.14411/fp.2015.060.pdf,BRONZE,Folia Parasitologica,2015
10.1371/journal.pone.0187596,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0187596&type=printable,GOLD,PLoS ONE,2017
10.1371/journal.pone.0113144,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0113144&type=printable,GOLD,PLoS ONE,2014
10.3760/cma.j.issn.0253-3766.2016.04.001,,CLOSED,Zhonghua zhong liu za zhi [Chinese journal of oncology],2016
10.1002/syn.20558,http://kawai.w3.kanazawa-u.ac.jp/documents/kk080.pdf,GREEN,Synapse,2008
10.1021/jacs.6b12604,https://europepmc.org/articles/pmc5440228?pdf=render,GREEN,Journal of the American Chemical Society,2017
10.1021/bc300631z,http://comp-bio.anu.edu.au/huber/papers/Tif_BioconjugateChem2013.pdf,GREEN,Bioconjugate chemistry,2013
10.1016/j.jneumeth.2017.01.002,https://europepmc.org/articles/pmc5323434?pdf=render,GREEN,Journal of Neuroscience Methods,2017
10.3382/ps.2013-03556,https://academic.oup.com/ps/article-pdf/93/2/494/6036451/494.pdf,HYBRID,Poultry Science,2014
10.1109/NEWCAS44328.2019.8961293,https://repository.tudelft.nl/islandora/object/uuid%3Adf985717-441a-4c3b-986f-50abd845f1dd/datastream/OBJ/download,GREEN,IEEE International New Circuits and Systems Conference,2019
10.1016/j.cor.2017.09.022,http://repository.bilkent.edu.tr/bitstream/11693/49852/1/Efficient_simulated_annealing_based_solution_approaches_to_the_competitive_single_and_multiple_allocation_hub_location_problems%20%281%29.pdf,GREEN,Computers & Operations Research,2018
10.1109/ICASSP.2012.6288580,,CLOSED,"IEEE International Conference on Acoustics, Speech, and Signal Processing",2012
10.5114/pg.2014.40842,,CLOSED,Gastroenterology Review,2014
10.1016/j.hrthm.2013.09.059,,CLOSED,Heart Rhythm,2013
10.1001/amajethics.2020.687,https://journalofethics.ama-assn.org/sites/journalofethics.ama-assn.org/files/2020-07/stas1-2008.pdf,GOLD,AMA journal of ethics,2020
10.1177/0194599814541627a67,,CLOSED,,2014
10.1177/0194599812465397,,CLOSED,Otolaryngology Head & Neck Surgery,2013
10.1097/JSA.0000000000000127,,CLOSED,Sports medicine and arthroscopy review,2016
10.1111/ajco.13323,,CLOSED,Asia-Pacific Journal of Clinical Oncology,2020
10.4274/tjod.galenos.2019.77864,,CLOSED,Journal of Turkish Society of Obstetric and Gynecology,2019
10.1111/jog.12551,,CLOSED,The journal of obstetrics and gynaecology research,2015
10.1371/journal.pone.0183138,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0183138&type=printable,GOLD,PLoS ONE,2017
10.1039/c8ra08881k,https://pubs.rsc.org/en/content/articlepdf/2018/ra/c8ra08881k,GOLD,RSC Advances,2018
10.1007/s13361-011-0289-3,,CLOSED,Journal of the American Society for Mass Spectrometry,2012
10.1177/0730888416661019,,CLOSED,,2016
10.1109/FIE.2017.8190684,,CLOSED,Frontiers in Education Conference,2017
10.1167/tvst.3.7.10,https://europepmc.org/articles/pmc4314989?pdf=render,GREEN,Translational Vision Science & Technology,2014
10.1073/pnas.1013535108,https://www.pnas.org/content/pnas/108/3/1158.full.pdf,BRONZE,Proceedings of the National Academy of Sciences of the United States of America,2010
10.1186/s12889-015-2377-y,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-015-2377-y,GOLD,BMC Public Health,2015
10.1007/s11060-017-2703-6,,CLOSED,Journal of Neuro-Oncology,2018
10.1097/NMD.0b013e31829829c4,https://epub.ub.uni-muenchen.de/24078/1/oa_24078.pdf,GREEN,Journal of Nervous and Mental Disease,2013
10.1137/16M1065306,http://arxiv.org/pdf/1603.03575,GREEN,SIAM Journal on Mathematical Analysis,2016
10.1002/sim.5556,,CLOSED,Statistics in Medicine,2013
10.1007/s10115-013-0728-5,,CLOSED,Knowledge and Information Systems,2014
10.1109/CyberC49757.2020.00053,,CLOSED,International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery,2020
10.1371/journal.pone.0150833,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0150833&type=printable,GOLD,PLoS ONE,2016
10.1016/j.jhazmat.2008.03.066,,CLOSED,Journal of Hazardous Materials,2009
10.1177/104063871102300119,,CLOSED,Journal of Veterinary Diagnostic Investigation,2011
10.3760/cma.j.issn.0253-2727.2015.03.019,,CLOSED,Chinese Journal of Hematology,2015
10.1016/j.cell.2008.07.015,http://www.cell.com/article/S0092867408009331/pdf,BRONZE,Cell,2008
10.1016/j.canlet.2014.08.026,,CLOSED,Cancer Letters,2014
10.1055/a-0800-8633,,CLOSED,International Journal of Sports Medicine,2018
10.1016/j.fsigen.2020.102279,,CLOSED,Forensic Science International: Genetics,2020
10.1016/j.biortech.2014.06.044,,CLOSED,Bioresource Technology,2014
10.1016/j.nano.2016.04.006,,CLOSED,"Nanomedicine : nanotechnology, biology, and medicine",2016
10.1016/S0140-6736(14)61855-9,https://europepmc.org/articles/pmc4888936?pdf=render,GREEN,The Lancet,2014
10.1109/IDAACS.2013.6662636,,CLOSED,International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications,2013
10.1371/journal.pone.0163989,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0163989&type=printable,GOLD,PLoS ONE,2016
10.1371/journal.pone.0178566,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0178566&type=printable,GOLD,PLoS ONE,2017
10.1161/CIR.0b013e3181d34114,https://www.ahajournals.org/doi/pdf/10.1161/CIR.0b013e3181d34114,BRONZE,Circulation,2010
10.1097/ALN.0000000000002580,https://anesthesiology.pubs.asahq.org/jasa/content_public/journal/jasa/937899/20190400.0-00017.pdf,BRONZE,Anesthesiology,2019
10.1093/milmed/usz303,https://academic.oup.com/milmed/article-pdf/185/Supplement_1/500/32524331/usz303.pdf,BRONZE,Military Medicine,2020
10.1007/s10620-011-1728-5,,CLOSED,Digestive Diseases and Sciences,2011
10.1111/j.1365-2354.2007.00909.x,,CLOSED,European Journal of Cancer Care,2008
10.1002/jor.24143,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jor.24143,BRONZE,Journal of Orthopaedic Research,2018
10.1097/QAI.0000000000000523,https://iris.unife.it/bitstream/11392/2417062.5/2/Cancer_Risk_and_Use_of_Protease_Inhibitor_or.13.pdf,GREEN,Journal of Acquired Immune Deficiency Syndromes,2015
10.1016/j.sleep.2008.09.012,,CLOSED,Sleep Medicine,2009
10.1177/1355819616671540,,CLOSED,Journal of Health Services Research and Policy,2017
10.1039/c6cc05079d,,CLOSED,Chemical Communications,2016
10.1134/S0006350909040058,,CLOSED,Biofizika,2009
10.1021/ic200846j,,CLOSED,Inorganic Chemistry,2011
10.1080/09638288.2018.1461937,,CLOSED,Disability and Rehabilitation,2019
10.1109/ISVDAT.2015.7208158,,CLOSED,International Symposium on VLSI Design and Test,2015
10.1109/MCOM.2018.1700211,,CLOSED,IEEE Communications Magazine,2018
10.1109/FIE.2011.6142740,,CLOSED,Frontiers in Education Conference,2011
10.3390/ma12142328,https://www.mdpi.com/1996-1944/12/14/2328/pdf?version=1563791093,GOLD,Materials,2019
10.1021/acsami.5b10877,,CLOSED,ACS Applied Materials and Interfaces,2016
10.1007/s11274-013-1341-1,,CLOSED,World Journal of Microbiology & Biotechnology,2013
10.1177/0265691420938656,,CLOSED,,2020
10.4269/ajtmh.16-0408,http://www.ajtmh.org/deliver/fulltext/14761645/97/4/tpmd160408.pdf?itemId=%2Fcontent%2Fjournals%2F10.4269%2Fajtmh.16-0408&mimeType=pdf&containerItemId=content/journals/14761645,HYBRID,American Journal of Tropical Medicine and Hygiene,2017
10.1177/0143831X11428838,,CLOSED,,2012
10.1111/j.1574-695X.2009.00584.x,https://academic.oup.com/femspd/article-pdf/57/1/80/19171522/57-1-80.pdf,BRONZE,FEMS Immunology & Medical Microbiology,2009
10.1016/j.jneumeth.2019.01.010,,CLOSED,Journal of Neuroscience Methods,2019
10.3390/cells7120279,https://www.mdpi.com/2073-4409/7/12/279/pdf?version=1545289002,GOLD,Cells,2018
10.4161/21624054.2014.982437,https://www.tandfonline.com/doi/pdf/10.4161/21624054.2014.982437?needAccess=true,BRONZE,Worm,2014
10.1260/014459809788708219,,CLOSED,,2009
10.1016/S1995-7645(14)60026-2,,CLOSED,Asian Pacific Journal of Tropical Medicine,2014
10.1080/09540121.2020.1761518,,CLOSED,AIDS Care,2020
10.1177/1947603516630786,https://journals.sagepub.com/doi/pdf/10.1177/1947603516630786,BRONZE,Cartilage,2016
10.1016/j.antiviral.2020.104721,,CLOSED,Antiviral Research,2020
10.1111/pedi.12112,,CLOSED,Pediatric Diabetes,2014
10.3760/CMA.J.ISSN.0376-2491.2009.03.016,,CLOSED,Zhonghua yi xue za zhi,2009
10.1155/2013/502728,https://downloads.hindawi.com/journals/crior/2013/502728.pdf,GOLD,Case Reports in Orthopedics,2013
10.1016/j.athoracsur.2020.05.033,,CLOSED,Annals of Thoracic Surgery,2020
10.12788/ajo.2018.0018,,CLOSED,American journal of orthopedics,2018
10.1177/1757177416687831,https://europepmc.org/articles/pmc5360205?pdf=render,GREEN,Journal of Infection Prevention,2017
10.1111/ics.12068,,CLOSED,International Journal of Cosmetic Science,2013
10.1016/j.ptsp.2019.11.005,,CLOSED,Physical Therapy in Sport,2019
10.1109/EMBC.2012.6347423,,CLOSED,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2012
10.1016/j.annemergmed.2013.11.009,,CLOSED,Annals of Emergency Medicine,2014
10.1109/EMBC.2018.8512222,,CLOSED,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2018
10.1002/adma.201401603,https://repositorio.uam.es/bitstream/10486/683102/1/blue_sanchez_AM_2014ps.pdf,GREEN,Advances in Materials,2014
10.1248/cpb.c14-00003,https://www.jstage.jst.go.jp/article/cpb/62/5/62_c14-00003/_pdf,GOLD,Chemical and pharmaceutical bulletin,2014
10.1016/j.biopsycho.2013.05.013,,CLOSED,Biological Psychology,2013
10.1016/j.schres.2014.09.040,,CLOSED,Schizophrenia Research,2015
10.3389/fnhum.2013.00296,https://www.frontiersin.org/articles/10.3389/fnhum.2013.00296/pdf,GOLD,Frontiers in Human Neuroscience,2013
10.1111/jep.12771,,CLOSED,Journal of Evaluation In Clinical Practice,2017
10.1109/ICECS.2017.8291998,,CLOSED,"International Conference on Electronics, Circuits, and Systems",2017
10.1109/ISCAS45731.2020.9180542,http://jultika.oulu.fi/files/nbnfi-fe202101131686.pdf,GREEN,International Symposium on Circuits and Systems,2020
10.1016/j.compbiomed.2019.02.016,,CLOSED,Comput. Biol. Medicine,2019
10.1145/1866218.1866246,,CLOSED,ACM Symposium on User Interface Software and Technology,2010
10.1007/978-3-642-31087-4_57,http://www.cs.umb.edu/~ding/papers/iea_aie2012.pdf,GREEN,"International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",2012
10.1109/IPDPS.2009.5161239,,CLOSED,2009 IEEE International Symposium on Parallel & Distributed Processing,2009
10.3390/foods9040528,https://www.mdpi.com/2304-8158/9/4/528/pdf?version=1588036275,GOLD,Foods,2020
10.1016/j.bbamcr.2011.01.034,,CLOSED,Biochimica et Biophysica Acta,2011
10.4103/0973-1482.73336,,CLOSED,Journal of Cancer Research and Therapeutics,2010
10.1101/gad.321968.118,http://genesdev.cshlp.org/content/33/9-10/498.full.pdf,GOLD,Genes & Development,2019
10.1007/s10545-014-9804-6,,CLOSED,Journal of Inherited Metabolic Disease,2015
10.1016/j.biopha.2019.108624,,CLOSED,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2019
10.1016/j.biopha.2018.02.055,,CLOSED,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2018
10.1002/jmor.10699,,CLOSED,Journal of morphology,2009
10.1016/j.foodchem.2014.09.061,,CLOSED,Food Chemistry,2015
10.1016/j.jbiosc.2020.07.002,,CLOSED,Journal of Bioscience and Bioengineering,2020
10.1121/1.2832619,,CLOSED,Journal of the Acoustical Society of America,2008
10.1093/HWJ/DBP006,,CLOSED,History Workshop Journal,2009
10.1103/PHYSREVLETT.106.121803,http://link.aps.org/pdf/10.1103/PhysRevLett.106.121803,HYBRID,Physical Review Letters,2011
10.1021/acsami.0c15509,,CLOSED,ACS Applied Materials and Interfaces,2020
10.1093/ckj/sfx051,https://academic.oup.com/ckj/article-pdf/10/5/586/20385964/sfx051.pdf,GOLD,Clinical Kidney Journal,2017
10.1186/s12885-015-1765-0,https://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-015-1765-0,GOLD,BMC Cancer,2015
10.1016/j.nicl.2016.05.008,,CLOSED,NeuroImage: Clinical,2016
10.1097/CCM.0000000000003002,,CLOSED,Critical Care Medicine,2018
10.1097/SCS.0000000000004215,,CLOSED,The Journal of craniofacial surgery (Print),2017
10.1093/cdn/nzz034.P10-136-19,,CLOSED,Current Developments in Nutrition,2019
10.1148/RYCT.2019180007,https://europepmc.org/articles/pmc6555440?pdf=render,GREEN,Radiology: Cardiothoracic Imaging,2019
10.1007/s00192-009-0859-0,,CLOSED,International Urogynecology Journal,2009
10.1164/rccm.201507-1398OC,https://europepmc.org/articles/pmc4642204?pdf=render,GREEN,American Journal of Respiratory and Critical Care Medicine,2015
10.1200/JCO.2011.36.9058,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2011.36.9058,BRONZE,Journal of Clinical Oncology,2011
10.1038/jp.2009.148,,CLOSED,Journal of Perinatology,2009
10.1002/anie.201908923,,CLOSED,Angewandte Chemie,2019
10.1103/PHYSREVLETT.102.118108,,CLOSED,Physical Review Letters,2009
10.1016/j.cor.2020.104937,,CLOSED,Computers & Operations Research,2020
10.3109/0142159X.2013.765545,,CLOSED,Medical Teacher,2013
10.1371/journal.pbio.3000724,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3000724&type=printable,GOLD,PLoS Biology,2020
10.1177/1090198113493090,https://europepmc.org/articles/pmc3964320?pdf=render,GREEN,Health Education & Behavior,2013
10.1177/1052562918802327,https://research-repository.st-andrews.ac.uk/bitstream/10023/16073/1/Wright_Hibbertetal_JnlMgtEdu_Exposing_practical_AAM.pdf,GREEN,Journal of Management Education,2018
10.21437/Interspeech.2018-2215,,CLOSED,Interspeech,2018
10.1109/TIFS.2014.2355043,https://dr.ntu.edu.sg/bitstream/10356/105046/1/Final%20manuscript%20T-IFS-03624-2013_1%20Sept%20_2014.pdf,GREEN,IEEE Transactions on Information Forensics and Security,2014
10.1016/j.ijpharm.2017.06.086,,CLOSED,International journal of pharmaceutics,2017
10.1177/1078087417702504,,CLOSED,,2019
10.1073/pnas.1110698108,https://www.pnas.org/content/pnas/108/34/13881.full.pdf,BRONZE,Proceedings of the National Academy of Sciences of the United States of America,2011
10.3389/fnins.2014.00327,https://www.frontiersin.org/articles/10.3389/fnins.2014.00327/pdf,GOLD,Frontiers in Neuroscience,2014
10.1097/NEN.0000000000000081,https://academic.oup.com/jnen/article-pdf/73/7/658/17419549/73-7-658.pdf,BRONZE,Journal of Neuropathology and Experimental Neurology,2014
10.1021/acsmedchemlett.8b00098,https://figshare.com/articles/journal_contribution/Modulating_ADME_Properties_by_Fluorination_MK2_Inhibitors_with_Improved_Oral_Exposure/6004865/1/files/10793876.pdf,GREEN,ACS Medicinal Chemistry Letters,2018
10.1016/j.bbagen.2015.01.023,,CLOSED,Biochimica et Biophysica Acta,2015
10.1016/j.virol.2012.07.005,http://repositori.uji.es/xmlui/bitstream/10234/63650/3/Coronavirus_E_protein.pdf,GREEN,Virology,2012
10.1021/bi201157t,https://europepmc.org/articles/pmc3220057?pdf=render,GREEN,Biochemistry,2011
10.1128/genomeA.00629-16,https://mra.asm.org/content/ga/4/3/e00629-16.full.pdf,GOLD,Genome Announcements,2016
10.1364/OL.39.005551,,CLOSED,Optics Letters,2014
10.1137/18M1207272,http://arxiv.org/pdf/1808.04200,GREEN,Multiscale Modeling & simulation,2018
10.1177/0142331214536200,,CLOSED,,2015
10.1055/a-0582-9127,,CLOSED,Endoscopy,2018
10.1007/s00381-020-04649-9,,CLOSED,Child's Nervous System,2020
10.4314/mmj.v32i1.9,https://www.ajol.info/index.php/mmj/article/download/194913/184101,GOLD,Malawi medical journal : the journal of Medical Association of Malawi,2020
10.7812/tpp/19.142,https://europepmc.org/articles/pmc7089596?pdf=render,GREEN,The Permanente Journal,2020
10.1016/j.tripleo.2011.08.026,,CLOSED,"Oral surgery, oral medicine, oral pathology and oral radiology",2012
10.1155/2015/491409,https://downloads.hindawi.com/journals/ecam/2015/491409.pdf,GOLD,Evidence-Based Complementary and Alternative Medicine,2015
10.1590/S0034-71672009000500013,https://www.scielo.br/j/reben/a/9M9Rqkn3xD58vJtnHdTLTpD/?lang=pt&format=pdf,GOLD,,2009
10.1016/j.jds.2013.02.033,,CLOSED,Journal of Dental Sciences,2013
10.1016/j.colsurfb.2018.05.014,,CLOSED,Colloids and Surfaces B: Biointerfaces,2018
10.1080/13854046.2016.1208847,,CLOSED,Clinical Neuropsychologist,2017
10.1109/MWSCAS.2016.7870106,,CLOSED,Midwest Symposium on Circuits and Systems,2016
10.1007/s00267-010-9494-2,,CLOSED,Environmental Management,2010
10.1016/j.amc.2011.08.070,,CLOSED,Applied Mathematics and Computation,2011
10.1007/978-3-642-22000-5_46,,CLOSED,Agent and Multi-Agent Systems: Technologies and Applications,2011
10.1609/aaai.v29i1.9442,https://ojs.aaai.org/index.php/AAAI/article/download/9442/9301,BRONZE,AAAI Conference on Artificial Intelligence,2015
10.1007/978-3-319-41009-8_28,,CLOSED,International Conference on Swarm Intelligence,2016
10.1109/TrustCom.2013.193,,CLOSED,"2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications",2013
10.1109/WSC.2015.7408555,,CLOSED,Online World Conference on Soft Computing in Industrial Applications,2015
10.1016/j.amc.2011.08.030,,CLOSED,Applied Mathematics and Computation,2011
10.1038/ncomms14589,https://www.nature.com/articles/ncomms14589.pdf,GOLD,Nature Communications,2017
10.1007/s13197-020-04769-9,,CLOSED,Journal of food science and technology,2020
10.1016/j.dib.2018.09.013,,CLOSED,Data in Brief,2018
10.18632/oncotarget.17926,http://www.oncotarget.com/index.php?journal=oncotarget&page=article&op=download&path%5B%5D=17926&path%5B%5D=57432,GOLD,OncoTarget,2017
10.1111/joa.12597,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/joa.12597,BRONZE,Journal of Anatomy,2017
10.1684/ecn.2009.0156,,CLOSED,European Cytokine Network,2009
10.1016/j.jneumeth.2014.02.005,https://europepmc.org/articles/pmc4120659?pdf=render,GREEN,Journal of Neuroscience Methods,2014
10.1002/smll.201602473,,CLOSED,Small,2017
10.1016/j.neuroimage.2014.03.031,https://orca.cardiff.ac.uk/id/eprint/59382/1/Hughes_manuscript.pdf,GREEN,NeuroImage,2014
10.1167/iovs.12-11176,https://europepmc.org/articles/pmc3558299?pdf=render,GREEN,Investigative Ophthalmology and Visual Science,2013
10.1016/j.surg.2019.07.033,,CLOSED,Surgery,2019
10.1371/journal.pone.0163509,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0163509&type=printable,GOLD,PLoS ONE,2017
10.1118/1.4870437,https://europepmc.org/articles/pmc5148034?pdf=render,GREEN,Medical Physics (Lancaster),2014
10.1097/SMJ.0b013e31816b4992,,CLOSED,"Southern medical journal (Birmingham, Ala. Print)",2008
10.1080/21646821.2016.1138066,,CLOSED,The Neurodiagnostic Journal,2016
10.1016/j.transproceed.2015.03.017,,CLOSED,Transplantation Proceedings,2015
10.1038/clpt.2011.212,,CLOSED,Clinical pharmacology and therapy,2011
10.1309/AJCPELMG6GX6RQSM,https://academic.oup.com/ajcp/article-pdf/131/6/875/24987161/ajcpath131-0875.pdf,BRONZE,American Journal of Clinical Pathology,2009
10.1177/0194599817728897,,CLOSED,Otolaryngology Head & Neck Surgery,2017
10.1111/ipd.12462,,CLOSED,International Journal of Paediatric Dentistry,2019
10.1186/s12893-016-0142-5,https://bmcsurg.biomedcentral.com/track/pdf/10.1186/s12893-016-0142-5,GOLD,BMC Surgery,2016
10.1007/s11414-011-9239-x,,CLOSED,Journal of Behavioral Health Services & Research,2011
10.1039/c1cc11611h,,CLOSED,Chemical Communications,2011
10.3724/SP.J.1123.2013.05048,,CLOSED,Se pu = Chinese journal of chromatography,2013
10.1016/j.ophtha.2013.07.055,http://gala.gre.ac.uk/id/eprint/22766/3/22766%20TADIC_Development_of_the_Functional_Vision_Questionnaire_2013.pdf,GREEN,"Ophthalmology (Rochester, Minn.)",2013
10.3390/s20216197,https://www.mdpi.com/1424-8220/20/21/6197/pdf?version=1604312687,GOLD,Italian National Conference on Sensors,2020
10.1016/j.ins.2012.01.027,,CLOSED,Information Sciences,2013
10.1109/ICGS3.2019.8688025,,CLOSED,"International Conference on Global Security, Safety, and Sustainability",2019
10.1145/2414688.2414696,,CLOSED,Conference on Visual Media Production,2012
10.1109/ICRA.2012.6225146,,CLOSED,IEEE International Conference on Robotics and Automation,2012
10.1109/IROS.2011.6094685,,CLOSED,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,2011
10.1109/Correctness49594.2019.00008,,CLOSED,International Workshop on Software Correctness for HPC Applications,2019
10.4204/EPTCS.306.36,https://arxiv.org/pdf/1909.08254,GOLD,ICLP Technical Communications,2019
10.3390/rs70100564,https://www.mdpi.com/2072-4292/7/1/564/pdf?version=1420632901,GOLD,Remote Sensing,2015
10.1111/j.1551-6709.2010.01162.x,,CLOSED,Cognitive Sciences,2011
10.1007/s11481-020-09941-8,https://link.springer.com/content/pdf/10.1007/s11481-020-09941-8.pdf,HYBRID,Journal of Neuroimmune Pharmacology,2020
10.1007/s00436-012-3170-9,,CLOSED,Parasitology Research,2012
10.3389/fonc.2019.00117,https://www.frontiersin.org/articles/10.3389/fonc.2019.00117/pdf,GOLD,Frontiers in Oncology,2019
10.1093/cvr/cvw075,https://academic.oup.com/cardiovascres/article-pdf/110/3/419/17393203/cvw075.pdf,HYBRID,Cardiovascular Research,2016
10.1093/bioinformatics/btu822,https://academic.oup.com/bioinformatics/article-pdf/31/9/1478/17085621/btu822.pdf,HYBRID,Bioinform.,2014
10.1016/j.neuroimage.2017.02.002,https://europepmc.org/articles/pmc5501959?pdf=render,GREEN,NeuroImage,2017
10.1126/science.1165572,,CLOSED,Science,2008
10.1109/JPROC.2013.2274936,,CLOSED,Proceedings of the IEEE,2013
10.1109/SIU.2018.8404630,,CLOSED,Signal Processing and Communications Applications Conference,2018
10.1364/OE.16.006683,,CLOSED,Optics Express,2008
10.1080/03610918.2020.1799229,,CLOSED,Communications in statistics. Simulation and computation,2020
10.3389/fphar.2019.00706,https://fjfsdata01prod.blob.core.windows.net/articles/files/446271/pubmed-zip/.versions/2/.package-entries/fphar-10-00706.pdf?sv=2018-03-28&sr=b&sig=aEj2EMHk65V7fokjqy4F7Jtmi4vx5EBDuvZZe611H2I%3D&se=2021-02-22T19%3A40%3A13Z&sp=r&rscd=attachment%3B%20filename%2A%3DUTF-8%27%27fphar-10-00706.pdf,GOLD,Frontiers in Pharmacology,2019
10.1136/bcr-2018-226493,,CLOSED,BMJ Case Reports,2018
10.1186/1471-2458-11-516,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/1471-2458-11-516,GOLD,BMC Public Health,2011
10.1016/j.clbc.2012.08.002,,CLOSED,Clinical Breast Cancer,2012
10.3390/jcm9030705,https://www.mdpi.com/2077-0383/9/3/705/pdf?version=1584093280,GOLD,Journal of Clinical Medicine,2020
10.1002/jbmr.43,https://europepmc.org/articles/pmc3153996?pdf=render,GREEN,Journal of Bone and Mineral Research,2010
10.1007/s00404-009-1053-9,,CLOSED,Archives of Gynecology and Obstetrics,2009
10.1055/s-0035-1570006,,CLOSED,Journal of Neurological Surgery Part A: Central European Neurosugery,2016
10.1016/j.spinee.2014.06.003,,CLOSED,The spine journal,2014
